Container stores 5000 plants:
tree: name = rrpkztbnaxly, length = 12, age = 1554, Fraction = 0.08333333333333333
tree: name = rptqhqjjtyy, length = 11, age = 435, Fraction = 0.0
bush: name = pgvou, length = 5, month = Month.APRIL, Fraction = 0.4
flower: name = howabowvlfmkroyu, length = 16, type = Type.HOME, Fraction = 0.3125
bush: name = vthmrjuxpouxr, length = 13, month = Month.NOVEMBER, Fraction = 0.23076923076923078
flower: name = rmns, length = 4, type = Type.HOME, Fraction = 0.0
tree: name = mzviohjmyrbn, length = 12, age = 1152, Fraction = 0.16666666666666666
bush: name = y, length = 1, month = Month.OCTOBER, Fraction = 0.0
bush: name = boevdbpsfpolfzoyxyk, length = 19, month = Month.MARCH, Fraction = 0.21052631578947367
bush: name = bil, length = 3, month = Month.MARCH, Fraction = 0.3333333333333333
flower: name = lnhgojixbfpaeqqkmil, length = 19, type = Type.GARDEN, Fraction = 0.2631578947368421
tree: name = oempjusgiwrzdkbwjz, length = 18, age = 133, Fraction = 0.2222222222222222
flower: name = hggnb, length = 5, type = Type.GARDEN, Fraction = 0.0
flower: name = jehqykzufugvozvz, length = 16, type = Type.WILD, Fraction = 0.25
tree: name = gaxpfykoa, length = 9, age = 1156, Fraction = 0.3333333333333333
bush: name = hwujwxjsxghnt, length = 13, month = Month.OCTOBER, Fraction = 0.07692307692307693
tree: name = vavcjqgcu, length = 9, age = 816, Fraction = 0.2222222222222222
bush: name = vfbr, length = 4, month = Month.SEPTEMBER, Fraction = 0.0
flower: name = ndikqhvjizjpheojkh, length = 18, type = Type.HOME, Fraction = 0.2222222222222222
flower: name = uckeqwcjjflqlzjmlor, length = 19, type = Type.HOME, Fraction = 0.15789473684210525
tree: name = jysscwkhlnbeuazw, length = 16, age = 1372, Fraction = 0.1875
flower: name = uhn, length = 3, type = Type.WILD, Fraction = 0.3333333333333333
bush: name = ngcrrdzorfcbxmself, length = 18, month = Month.JULY, Fraction = 0.1111111111111111
bush: name = fhnxszf, length = 7, month = Month.JANUARY, Fraction = 0.0
flower: name = hwijwirtytttbkdrkc, length = 18, type = Type.HOME, Fraction = 0.1111111111111111
tree: name = nivwiooekwoo, length = 12, age = 1484, Fraction = 0.5833333333333334
flower: name = nx, length = 2, type = Type.WILD, Fraction = 0.0
tree: name = tsa, length = 3, age = 1814, Fraction = 0.3333333333333333
bush: name = kjhqyskp, length = 8, month = Month.APRIL, Fraction = 0.0
tree: name = phhn, length = 4, age = 242, Fraction = 0.0
bush: name = oicrsmrwcqsapljwh, length = 17, month = Month.JANUARY, Fraction = 0.17647058823529413
flower: name = jlvd, length = 4, type = Type.WILD, Fraction = 0.0
tree: name = hkxaiyfgzxs, length = 11, age = 1077, Fraction = 0.18181818181818182
bush: name = f, length = 1, month = Month.JANUARY, Fraction = 0.0
tree: name = ovhzblftujibhngkes, length = 18, age = 1837, Fraction = 0.2222222222222222
tree: name = ekdzcrahptcvo, length = 13, age = 1567, Fraction = 0.23076923076923078
bush: name = ucgwqcom, length = 8, month = Month.JUNE, Fraction = 0.25
flower: name = lgwmkixrg, length = 9, type = Type.HOME, Fraction = 0.1111111111111111
tree: name = fieykigvrhbqy, length = 13, age = 876, Fraction = 0.23076923076923078
flower: name = hwpks, length = 5, type = Type.WILD, Fraction = 0.0
bush: name = gnjiyhtljucr, length = 12, month = Month.APRIL, Fraction = 0.16666666666666666
tree: name = ul, length = 2, age = 809, Fraction = 0.5
flower: name = obconlfoscojt, length = 13, type = Type.WILD, Fraction = 0.3076923076923077
tree: name = eax, length = 3, age = 844, Fraction = 0.6666666666666666
tree: name = baeyhnqxlrlvrb, length = 14, age = 164, Fraction = 0.14285714285714285
flower: name = lflcyaxd, length = 8, type = Type.WILD, Fraction = 0.125
tree: name = lifhou, length = 6, age = 1277, Fraction = 0.5
flower: name = sxjbwp, length = 6, type = Type.WILD, Fraction = 0.0
flower: name = ltdgovr, length = 7, type = Type.GARDEN, Fraction = 0.14285714285714285
flower: name = d, length = 1, type = Type.GARDEN, Fraction = 0.0
flower: name = pmljpquu, length = 8, type = Type.GARDEN, Fraction = 0.25
tree: name = gztvkrmotrvb, length = 12, age = 1465, Fraction = 0.08333333333333333
flower: name = eigvxtkwpfnjbefzmk, length = 18, type = Type.WILD, Fraction = 0.16666666666666666
tree: name = dvowjwukz, length = 9, age = 594, Fraction = 0.2222222222222222
tree: name = pzhrm, length = 5, age = 706, Fraction = 0.0
bush: name = ghdzvx, length = 6, month = Month.JUNE, Fraction = 0.0
bush: name = ahfmlonqbmtjta, length = 14, month = Month.FEBRUARY, Fraction = 0.21428571428571427
bush: name = p, length = 1, month = Month.FEBRUARY, Fraction = 0.0
flower: name = judsbbrbao, length = 10, type = Type.WILD, Fraction = 0.3
tree: name = rmlalaqcfqnhsnpoph, length = 18, age = 496, Fraction = 0.16666666666666666
tree: name = wvkngfyipfvvkrcce, length = 17, age = 1473, Fraction = 0.11764705882352941
bush: name = frxmsmwkecakv, length = 13, month = Month.AUGUST, Fraction = 0.15384615384615385
bush: name = xyiissrouxzslghz, length = 16, month = Month.FEBRUARY, Fraction = 0.25
flower: name = zulfveuoe, length = 9, type = Type.HOME, Fraction = 0.5555555555555556
flower: name = lfpdggo, length = 7, type = Type.WILD, Fraction = 0.14285714285714285
flower: name = n, length = 1, type = Type.GARDEN, Fraction = 0.0
flower: name = nmpezippxqd, length = 11, type = Type.GARDEN, Fraction = 0.18181818181818182
bush: name = tyu, length = 3, month = Month.FEBRUARY, Fraction = 0.3333333333333333
tree: name = vsfcwfvulryvgydqjfvl, length = 20, age = 1913, Fraction = 0.05
bush: name = guu, length = 3, month = Month.DECEMBER, Fraction = 0.6666666666666666
bush: name = ou, length = 2, month = Month.NOVEMBER, Fraction = 1.0
bush: name = tsoilgsiihq, length = 11, month = Month.FEBRUARY, Fraction = 0.36363636363636365
flower: name = mmymfgbrkigcpsrs, length = 16, type = Type.GARDEN, Fraction = 0.0625
flower: name = jxxtpnmcw, length = 9, type = Type.WILD, Fraction = 0.0
tree: name = pnd, length = 3, age = 1012, Fraction = 0.0
flower: name = htooijtuusbznfti, length = 16, type = Type.HOME, Fraction = 0.375
flower: name = p, length = 1, type = Type.HOME, Fraction = 0.0
flower: name = qmfrlsoaiztwbfwqsi, length = 18, type = Type.GARDEN, Fraction = 0.2222222222222222
tree: name = ftzdpe, length = 6, age = 1125, Fraction = 0.16666666666666666
flower: name = dcyuxcfykvi, length = 11, type = Type.WILD, Fraction = 0.18181818181818182
bush: name = uhk, length = 3, month = Month.OCTOBER, Fraction = 0.3333333333333333
bush: name = vwmqdiqaaoi, length = 11, month = Month.JUNE, Fraction = 0.45454545454545453
flower: name = is, length = 2, type = Type.GARDEN, Fraction = 0.5
bush: name = eopcsqmzbiau, length = 12, month = Month.JUNE, Fraction = 0.4166666666666667
tree: name = gtkvbdwtgxqdrlmirt, length = 18, age = 139, Fraction = 0.05555555555555555
flower: name = wtczalulfim, length = 11, type = Type.HOME, Fraction = 0.2727272727272727
flower: name = spqilzrrnhyzp, length = 13, type = Type.HOME, Fraction = 0.07692307692307693
tree: name = eyggsjwv, length = 8, age = 264, Fraction = 0.125
bush: name = csi, length = 3, month = Month.DECEMBER, Fraction = 0.3333333333333333
bush: name = xifg, length = 4, month = Month.MAY, Fraction = 0.25
tree: name = fqpstmdgxpptwpbhbwin, length = 20, age = 47, Fraction = 0.05
tree: name = kawmkah, length = 7, age = 1730, Fraction = 0.2857142857142857
bush: name = odolppmhqekmzp, length = 14, month = Month.MARCH, Fraction = 0.21428571428571427
flower: name = ka, length = 2, type = Type.GARDEN, Fraction = 0.5
tree: name = a, length = 1, age = 1496, Fraction = 1.0
flower: name = pkskwxornngazbmt, length = 16, type = Type.GARDEN, Fraction = 0.125
bush: name = xhqh, length = 4, month = Month.FEBRUARY, Fraction = 0.0
flower: name = ypyc, length = 4, type = Type.WILD, Fraction = 0.0
flower: name = tcawzwprlza, length = 11, type = Type.WILD, Fraction = 0.18181818181818182
tree: name = lrjyvetpbvwhpthpx, length = 17, age = 1298, Fraction = 0.058823529411764705
flower: name = wwscuwnt, length = 8, type = Type.WILD, Fraction = 0.125
bush: name = ahwpacdp, length = 8, month = Month.JUNE, Fraction = 0.25
tree: name = pfgnoiwpqaejfde, length = 15, age = 853, Fraction = 0.3333333333333333
bush: name = jmglvboktbbyqqu, length = 15, month = Month.OCTOBER, Fraction = 0.13333333333333333
flower: name = fwwcpjxweiyjt, length = 13, type = Type.HOME, Fraction = 0.15384615384615385
tree: name = ohtwpbjg, length = 8, age = 612, Fraction = 0.125
tree: name = ixmaeiknmt, length = 10, age = 688, Fraction = 0.4
tree: name = zsvmovfgc, length = 9, age = 1585, Fraction = 0.1111111111111111
bush: name = jhgezlkygyj, length = 11, month = Month.FEBRUARY, Fraction = 0.09090909090909091
flower: name = stynmmbhxd, length = 10, type = Type.HOME, Fraction = 0.0
bush: name = pjbtukfmkcfik, length = 13, month = Month.JUNE, Fraction = 0.15384615384615385
flower: name = ygtiwvhewizihwc, length = 15, type = Type.HOME, Fraction = 0.26666666666666666
bush: name = dhdtnuwa, length = 8, month = Month.SEPTEMBER, Fraction = 0.25
flower: name = vyjoyx, length = 6, type = Type.HOME, Fraction = 0.16666666666666666
bush: name = vrppxlugpwhzdec, length = 15, month = Month.MAY, Fraction = 0.13333333333333333
bush: name = nqkiulwjdrjajwjjrlwg, length = 20, month = Month.OCTOBER, Fraction = 0.15
bush: name = mi, length = 2, month = Month.AUGUST, Fraction = 0.5
tree: name = iywewuxcdrw, length = 11, age = 1628, Fraction = 0.2727272727272727
bush: name = fgsesedlt, length = 9, month = Month.MAY, Fraction = 0.2222222222222222
bush: name = x, length = 1, month = Month.FEBRUARY, Fraction = 0.0
bush: name = ylyggfnwj, length = 9, month = Month.OCTOBER, Fraction = 0.0
tree: name = pkgpayzbvi, length = 10, age = 1198, Fraction = 0.2
tree: name = qfamrsgcb, length = 9, age = 1809, Fraction = 0.1111111111111111
flower: name = cpussaksttlzmafqrp, length = 18, type = Type.WILD, Fraction = 0.16666666666666666
bush: name = cbredbm, length = 7, month = Month.APRIL, Fraction = 0.14285714285714285
tree: name = srlqsqnkdscxm, length = 13, age = 295, Fraction = 0.0
flower: name = ldzyiuoufh, length = 10, type = Type.HOME, Fraction = 0.4
bush: name = ygzrjhxvwfpqw, length = 13, month = Month.JULY, Fraction = 0.0
bush: name = dgvvz, length = 5, month = Month.MAY, Fraction = 0.0
tree: name = hcompdbeuasq, length = 12, age = 871, Fraction = 0.3333333333333333
flower: name = seha, length = 4, type = Type.HOME, Fraction = 0.5
flower: name = awnxsxdmlrzjbyyunhy, length = 19, type = Type.WILD, Fraction = 0.10526315789473684
bush: name = oziycocnlkiycqg, length = 15, month = Month.AUGUST, Fraction = 0.26666666666666666
bush: name = jwcyvdpy, length = 8, month = Month.OCTOBER, Fraction = 0.0
bush: name = rdcqqbynseik, length = 12, month = Month.DECEMBER, Fraction = 0.16666666666666666
flower: name = sl, length = 2, type = Type.HOME, Fraction = 0.0
bush: name = razzroegwawxabxdtaw, length = 19, month = Month.MARCH, Fraction = 0.3157894736842105
flower: name = opswn, length = 5, type = Type.GARDEN, Fraction = 0.2
tree: name = xtxpeffnndzxqpokmk, length = 18, age = 7, Fraction = 0.1111111111111111
flower: name = rpupexhovxhfbg, length = 14, type = Type.HOME, Fraction = 0.21428571428571427
flower: name = rhpqmvgk, length = 8, type = Type.GARDEN, Fraction = 0.0
bush: name = hrchnvymjhloksex, length = 16, month = Month.FEBRUARY, Fraction = 0.125
flower: name = drjxojjbzkbelcau, length = 16, type = Type.HOME, Fraction = 0.25
flower: name = nfydu, length = 5, type = Type.GARDEN, Fraction = 0.2
flower: name = caqbfxxcrylrvdgpk, length = 17, type = Type.WILD, Fraction = 0.058823529411764705
flower: name = byzztwjqcn, length = 10, type = Type.HOME, Fraction = 0.0
bush: name = zctsilygfgdazackx, length = 17, month = Month.AUGUST, Fraction = 0.17647058823529413
tree: name = xhlrxpgc, length = 8, age = 664, Fraction = 0.0
tree: name = klmoxcuhohex, length = 12, age = 167, Fraction = 0.3333333333333333
bush: name = dzfd, length = 4, month = Month.FEBRUARY, Fraction = 0.0
flower: name = ktx, length = 3, type = Type.GARDEN, Fraction = 0.0
bush: name = yeicvvlobfhzs, length = 13, month = Month.MARCH, Fraction = 0.23076923076923078
bush: name = asxexumztcndgjbm, length = 16, month = Month.JANUARY, Fraction = 0.1875
flower: name = xxsdip, length = 6, type = Type.HOME, Fraction = 0.16666666666666666
bush: name = nmmyqdikftomthx, length = 15, month = Month.JUNE, Fraction = 0.13333333333333333
bush: name = xtlepsktpd, length = 10, month = Month.JULY, Fraction = 0.1
tree: name = hgzbzhemq, length = 9, age = 1654, Fraction = 0.1111111111111111
bush: name = upgdbwsdk, length = 9, month = Month.NOVEMBER, Fraction = 0.1111111111111111
tree: name = ubdsuowzkeshd, length = 13, age = 1153, Fraction = 0.3076923076923077
tree: name = ofwobuphqoojpw, length = 14, age = 1499, Fraction = 0.35714285714285715
tree: name = bggimgowrzbdpb, length = 14, age = 1272, Fraction = 0.14285714285714285
bush: name = nyghshknbtwwykkvzw, length = 18, month = Month.APRIL, Fraction = 0.0
bush: name = mgz, length = 3, month = Month.AUGUST, Fraction = 0.0
flower: name = kmrctimtvu, length = 10, type = Type.GARDEN, Fraction = 0.2
tree: name = onhhntjf, length = 8, age = 1110, Fraction = 0.125
tree: name = tbzrjaav, length = 8, age = 1379, Fraction = 0.25
flower: name = bfxiekgqxalic, length = 13, type = Type.WILD, Fraction = 0.3076923076923077
tree: name = wjhklx, length = 6, age = 528, Fraction = 0.0
bush: name = eybufjlnoxaeyzqhqhe, length = 19, month = Month.JANUARY, Fraction = 0.3157894736842105
flower: name = euntnijviprmopeboax, length = 19, type = Type.GARDEN, Fraction = 0.42105263157894735
flower: name = jhzwxnlotzipdyb, length = 15, type = Type.GARDEN, Fraction = 0.13333333333333333
tree: name = yxwqbloeeejdvarkjqht, length = 20, age = 233, Fraction = 0.25
bush: name = xccwwiwujqjnwfcfe, length = 17, month = Month.NOVEMBER, Fraction = 0.17647058823529413
tree: name = un, length = 2, age = 1701, Fraction = 0.5
tree: name = tmcupktswi, length = 10, age = 80, Fraction = 0.2
bush: name = vmarjaszgwpvqutq, length = 16, month = Month.OCTOBER, Fraction = 0.1875
flower: name = rzvyd, length = 5, type = Type.GARDEN, Fraction = 0.0
tree: name = qqzvwgjotmsvkz, length = 14, age = 1341, Fraction = 0.07142857142857142
flower: name = uap, length = 3, type = Type.GARDEN, Fraction = 0.6666666666666666
bush: name = fpur, length = 4, month = Month.SEPTEMBER, Fraction = 0.25
flower: name = kzcbzinrarsnv, length = 13, type = Type.HOME, Fraction = 0.15384615384615385
flower: name = yqnxcnorwpxrp, length = 13, type = Type.WILD, Fraction = 0.07692307692307693
bush: name = g, length = 1, month = Month.DECEMBER, Fraction = 0.0
bush: name = sexpihlgshplscpyemr, length = 19, month = Month.AUGUST, Fraction = 0.15789473684210525
bush: name = vwyfb, length = 5, month = Month.FEBRUARY, Fraction = 0.0
tree: name = tbkxsarcoaeybnoay, length = 17, age = 1626, Fraction = 0.35294117647058826
flower: name = bopwn, length = 5, type = Type.HOME, Fraction = 0.2
bush: name = dvlhcffskzxpwd, length = 14, month = Month.APRIL, Fraction = 0.0
flower: name = tlancgvkmpobmihc, length = 16, type = Type.GARDEN, Fraction = 0.1875
tree: name = qdy, length = 3, age = 434, Fraction = 0.0
tree: name = vcbscfbtqadgbaktibkr, length = 20, age = 1104, Fraction = 0.15
flower: name = gwlsrktffiaja, length = 13, type = Type.WILD, Fraction = 0.23076923076923078
flower: name = zinrgnkfoalscdnw, length = 16, type = Type.HOME, Fraction = 0.1875
flower: name = fwepsaodokmk, length = 12, type = Type.GARDEN, Fraction = 0.3333333333333333
tree: name = tsbveysyktkzj, length = 13, age = 1259, Fraction = 0.07692307692307693
bush: name = caemeyqqfkjrxtguom, length = 18, month = Month.JULY, Fraction = 0.2777777777777778
bush: name = hfyso, length = 5, month = Month.APRIL, Fraction = 0.2
tree: name = azlquump, length = 8, age = 1383, Fraction = 0.375
tree: name = vynbymphkzchwhjioc, length = 18, age = 298, Fraction = 0.1111111111111111
flower: name = vrtcdcmpj, length = 9, type = Type.WILD, Fraction = 0.0
flower: name = deztgajwplzwbx, length = 14, type = Type.GARDEN, Fraction = 0.14285714285714285
flower: name = f, length = 1, type = Type.GARDEN, Fraction = 0.0
flower: name = vfpm, length = 4, type = Type.WILD, Fraction = 0.0
bush: name = zlrjtedilgbp, length = 12, month = Month.JANUARY, Fraction = 0.16666666666666666
flower: name = avaidwvilttokuvatq, length = 18, type = Type.HOME, Fraction = 0.3888888888888889
tree: name = ubsxfxgom, length = 9, age = 1531, Fraction = 0.2222222222222222
bush: name = wvertddttfu, length = 11, month = Month.JUNE, Fraction = 0.18181818181818182
tree: name = iwuteiig, length = 8, age = 1931, Fraction = 0.625
flower: name = fbmkamxkf, length = 9, type = Type.HOME, Fraction = 0.1111111111111111
flower: name = gfjdfddyxv, length = 10, type = Type.WILD, Fraction = 0.0
flower: name = pvsvnzhctazosucmyyo, length = 19, type = Type.GARDEN, Fraction = 0.21052631578947367
tree: name = dchuukqqqp, length = 10, age = 425, Fraction = 0.2
flower: name = voqzyck, length = 7, type = Type.WILD, Fraction = 0.14285714285714285
tree: name = kyibrusykkke, length = 12, age = 604, Fraction = 0.25
bush: name = ebzi, length = 4, month = Month.FEBRUARY, Fraction = 0.5
tree: name = qyoxchgrox, length = 10, age = 1682, Fraction = 0.2
flower: name = avgak, length = 5, type = Type.GARDEN, Fraction = 0.4
bush: name = aiqfzgbdbwcm, length = 12, month = Month.JULY, Fraction = 0.16666666666666666
tree: name = eogpvhaqtzjts, length = 13, age = 783, Fraction = 0.23076923076923078
tree: name = mceun, length = 5, age = 1411, Fraction = 0.4
bush: name = ovltzofzlafjkjs, length = 15, month = Month.FEBRUARY, Fraction = 0.2
bush: name = lbegfcwgsqe, length = 11, month = Month.JANUARY, Fraction = 0.18181818181818182
flower: name = xsxrasmnlsbds, length = 13, type = Type.WILD, Fraction = 0.07692307692307693
bush: name = upcuugpehapgedc, length = 15, month = Month.SEPTEMBER, Fraction = 0.4
tree: name = ssklgja, length = 7, age = 1871, Fraction = 0.14285714285714285
flower: name = vyzqohj, length = 7, type = Type.GARDEN, Fraction = 0.14285714285714285
flower: name = f, length = 1, type = Type.WILD, Fraction = 0.0
bush: name = goqjdzxgfnidis, length = 14, month = Month.SEPTEMBER, Fraction = 0.21428571428571427
tree: name = lisuyokuovcjrvtokg, length = 18, age = 185, Fraction = 0.3333333333333333
bush: name = ynafqsrdwx, length = 10, month = Month.OCTOBER, Fraction = 0.1
flower: name = bzwffnnqqxnrlacdvmro, length = 20, type = Type.HOME, Fraction = 0.1
bush: name = mdztftlvoonffdxmouyn, length = 20, month = Month.OCTOBER, Fraction = 0.2
bush: name = gfaloqqfdbdctqi, length = 15, month = Month.MAY, Fraction = 0.2
tree: name = eaeeydmdsuso, length = 12, age = 504, Fraction = 0.5
bush: name = mptfiixtqgjeyoincz, length = 18, month = Month.OCTOBER, Fraction = 0.2777777777777778
bush: name = vjmcxy, length = 6, month = Month.FEBRUARY, Fraction = 0.0
bush: name = bhlv, length = 4, month = Month.MAY, Fraction = 0.0
tree: name = qjvpvlscrj, length = 10, age = 185, Fraction = 0.0
flower: name = hmcornhtgmrrlmjhuhnh, length = 20, type = Type.GARDEN, Fraction = 0.1
flower: name = pbeeikeqhrdfae, length = 14, type = Type.WILD, Fraction = 0.42857142857142855
bush: name = mixpjmfzkvdnxxbramjo, length = 20, month = Month.MAY, Fraction = 0.15
bush: name = ain, length = 3, month = Month.JULY, Fraction = 0.6666666666666666
tree: name = savl, length = 4, age = 709, Fraction = 0.25
flower: name = s, length = 1, type = Type.GARDEN, Fraction = 0.0
bush: name = psyjtfeajjtwufxg, length = 16, month = Month.JANUARY, Fraction = 0.1875
flower: name = gqqjkujufddssgf, length = 15, type = Type.GARDEN, Fraction = 0.13333333333333333
flower: name = gzfmlzjjiggj, length = 12, type = Type.WILD, Fraction = 0.08333333333333333
tree: name = jrxkkdgaxhopeflloiqe, length = 20, age = 433, Fraction = 0.3
bush: name = irxldf, length = 6, month = Month.JANUARY, Fraction = 0.16666666666666666
tree: name = ezcxxp, length = 6, age = 32, Fraction = 0.16666666666666666
flower: name = huhoyqiwheli, length = 12, type = Type.HOME, Fraction = 0.4166666666666667
tree: name = btmikukzlsaxfhjhzfgd, length = 20, age = 1740, Fraction = 0.15
tree: name = yrxpbbisp, length = 9, age = 610, Fraction = 0.1111111111111111
tree: name = vmujpz, length = 6, age = 1777, Fraction = 0.16666666666666666
tree: name = umkaafnatgoxyrse, length = 16, age = 1316, Fraction = 0.375
bush: name = iwh, length = 3, month = Month.MARCH, Fraction = 0.3333333333333333
tree: name = ajzwlo, length = 6, age = 401, Fraction = 0.3333333333333333
bush: name = sbbskvgmwnkthimwt, length = 17, month = Month.OCTOBER, Fraction = 0.058823529411764705
bush: name = rileathfdvkbfr, length = 14, month = Month.DECEMBER, Fraction = 0.21428571428571427
bush: name = uewbcrrzxzrvfvzfuub, length = 19, month = Month.MAY, Fraction = 0.21052631578947367
flower: name = zovvmyh, length = 7, type = Type.GARDEN, Fraction = 0.14285714285714285
tree: name = up, length = 2, age = 1947, Fraction = 0.5
flower: name = lzwrxkjgeyx, length = 11, type = Type.GARDEN, Fraction = 0.09090909090909091
flower: name = qvxmwybdtvvo, length = 12, type = Type.GARDEN, Fraction = 0.08333333333333333
flower: name = tnndnvzdripj, length = 12, type = Type.HOME, Fraction = 0.08333333333333333
bush: name = euckhtnww, length = 9, month = Month.MAY, Fraction = 0.2222222222222222
bush: name = irtdegiuqt, length = 10, month = Month.OCTOBER, Fraction = 0.4
tree: name = ghwfanpgmzpmqwxocy, length = 18, age = 1578, Fraction = 0.1111111111111111
tree: name = f, length = 1, age = 1616, Fraction = 0.0
flower: name = xsujcabjhyltyamfyzs, length = 19, type = Type.HOME, Fraction = 0.15789473684210525
tree: name = gymg, length = 4, age = 486, Fraction = 0.0
flower: name = ngvygjraguekpkvdcfjq, length = 20, type = Type.WILD, Fraction = 0.15
tree: name = esuvesuy, length = 8, age = 270, Fraction = 0.5
flower: name = clgbkwxvtbei, length = 12, type = Type.WILD, Fraction = 0.16666666666666666
bush: name = fvwybnlsavdewynyrcr, length = 19, month = Month.MAY, Fraction = 0.10526315789473684
tree: name = tnfkajrtf, length = 9, age = 1743, Fraction = 0.1111111111111111
flower: name = ukmsi, length = 5, type = Type.WILD, Fraction = 0.4
flower: name = wccgojighy, length = 10, type = Type.GARDEN, Fraction = 0.2
tree: name = wqzwabtujuiradc, length = 15, age = 1083, Fraction = 0.3333333333333333
tree: name = faq, length = 3, age = 1513, Fraction = 0.3333333333333333
bush: name = lznpiffehhiyhpliir, length = 18, month = Month.JUNE, Fraction = 0.2777777777777778
bush: name = nxbirvuqvj, length = 10, month = Month.NOVEMBER, Fraction = 0.2
tree: name = kvat, length = 4, age = 1679, Fraction = 0.25
flower: name = fvpkxilylpiurmcek, length = 17, type = Type.WILD, Fraction = 0.23529411764705882
flower: name = yxdjynbyyl, length = 10, type = Type.HOME, Fraction = 0.0
tree: name = btbe, length = 4, age = 138, Fraction = 0.25
flower: name = aegkdvcyhkljgjp, length = 15, type = Type.GARDEN, Fraction = 0.13333333333333333
bush: name = snpnxguocsycyb, length = 14, month = Month.JULY, Fraction = 0.14285714285714285
bush: name = wcaiqenqkllgp, length = 13, month = Month.NOVEMBER, Fraction = 0.23076923076923078
bush: name = zaovk, length = 5, month = Month.MAY, Fraction = 0.4
tree: name = ggmcjbqmjtjbxmhrr, length = 17, age = 664, Fraction = 0.0
flower: name = wcaekw, length = 6, type = Type.HOME, Fraction = 0.3333333333333333
tree: name = aveqidlvi, length = 9, age = 795, Fraction = 0.4444444444444444
bush: name = pxqjvhviqtzyvr, length = 14, month = Month.NOVEMBER, Fraction = 0.07142857142857142
bush: name = xgrhsdqfpqvzitow, length = 16, month = Month.MARCH, Fraction = 0.125
bush: name = av, length = 2, month = Month.JANUARY, Fraction = 0.5
bush: name = m, length = 1, month = Month.OCTOBER, Fraction = 0.0
flower: name = qa, length = 2, type = Type.WILD, Fraction = 0.5
flower: name = sk, length = 2, type = Type.GARDEN, Fraction = 0.0
bush: name = zqykvynizwmf, length = 12, month = Month.DECEMBER, Fraction = 0.08333333333333333
flower: name = nu, length = 2, type = Type.WILD, Fraction = 0.5
bush: name = syctlg, length = 6, month = Month.FEBRUARY, Fraction = 0.0
tree: name = tjlqwvxwtsp, length = 11, age = 1382, Fraction = 0.0
tree: name = qfixcgdpwspoeb, length = 14, age = 243, Fraction = 0.21428571428571427
tree: name = xrzer, length = 5, age = 12, Fraction = 0.2
tree: name = ckicligu, length = 8, age = 1581, Fraction = 0.375
tree: name = xyc, length = 3, age = 1582, Fraction = 0.0
