Container stores 10000 plants:
bush: name = xfbfzzfpwiigklfku, length = 17, month = Month.JANUARY, Fraction = 0.17647058823529413
bush: name = ybdqovz, length = 7, month = Month.AUGUST, Fraction = 0.14285714285714285
tree: name = jyicxscskaawrkuk, length = 16, age = 409, Fraction = 0.25
bush: name = pyydtoknbi, length = 10, month = Month.JUNE, Fraction = 0.2
bush: name = updaogpkaprxudl, length = 15, month = Month.MARCH, Fraction = 0.3333333333333333
tree: name = bhq, length = 3, age = 1357, Fraction = 0.0
tree: name = rfixruoyabshxm, length = 14, age = 425, Fraction = 0.2857142857142857
flower: name = tzmjdxh, length = 7, type = Type.GARDEN, Fraction = 0.0
bush: name = f, length = 1, month = Month.AUGUST, Fraction = 0.0
flower: name = aickkqps, length = 8, type = Type.HOME, Fraction = 0.25
bush: name = xwenodm, length = 7, month = Month.SEPTEMBER, Fraction = 0.2857142857142857
bush: name = pezegyqprakezvs, length = 15, month = Month.JULY, Fraction = 0.26666666666666666
